City,Lat,Max Temp,Humidity,Cloudiness,Wind
Carutapera,-1.2,77.16,97,88,6.73
Shelburne,44.08,28.4,86,90,13.87
Pekan,3.49,86.0,74,75,8.05
Mocuba,-16.84,74.1,91,24,2.93
Saint-Louis,47.59,30.2,92,0,5.82
Fortuna,38.18,46.4,87,20,5.82
Sulphur Springs,33.14,50.0,71,90,4.7
Tortona,44.9,55.4,71,75,11.41
Ringkobing,56.09,44.6,93,92,14.99
Cayenne,4.94,78.8,83,90,5.82
Saldanha,41.42,23.7,78,20,2.37
Majene,-3.54,78.6,100,92,16.58
Cockburn Town,21.46,78.06,100,0,6.4
Torbay,47.66,28.4,100,90,28.86
Zhuhai,40.71,12.2,30,0,4.47
Takanabe,32.13,55.4,35,40,17.22
Phalodi,27.13,43.95,65,0,2.82
Cap-Chat,49.1,13.71,100,64,2.93
Narsaq,60.91,26.6,79,80,3.36
Alofi,-19.06,86.0,74,80,8.05
Nizhniy Tagil,57.92,20.28,85,76,7.4
Yuxia,34.06,33.8,17,0,6.71
Zhangye,38.94,16.95,70,0,7.96
Verkhnyaya Inta,65.99,12.54,71,92,2.93
Manta,45.1,11.37,55,0,5.84
Alyangula,-13.85,87.8,70,75,9.17
Ozernovskiy,51.5,21.63,93,20,6.4
Okato,-39.19,68.7,84,0,18.81
Shirokiy,53.87,16.14,86,64,6.29
Tiksi,71.64,-47.85,0,0,2.93
Benghazi,32.12,58.8,100,20,23.4
Fortuna Foothills,32.66,53.78,96,1,3.6
Murgab,37.5,41.0,86,32,4.7
Lubango,-14.92,61.5,69,88,1.7
Kingsport,36.55,32.0,78,90,3.04
Santa Helena,-2.23,75.36,91,8,7.96
Saint George,39.45,33.8,43,20,6.93
Abu Dhabi,24.47,66.2,72,0,4.7
Yazman,36.74,40.17,93,24,11.77
Vila,45.18,39.2,74,0,9.17
Teguldet,57.31,13.17,88,88,3.38
Chara,39.42,33.8,43,20,6.93
Thompson,55.74,-23.81,74,5,6.93
Talakan,50.29,-7.89,31,0,7.4
Esperance,10.24,75.2,88,20,6.17
Marzuq,14.4,36.93,71,0,3.15
Bondo,3.81,68.07,100,100,1.25
Xam Nua,20.42,57.36,92,56,2.26
Seoul,37.57,29.12,25,0,4.7
Hovd,63.83,23.0,85,0,12.75
Trinidad,-33.52,66.18,96,100,10.09
Provost,52.35,12.99,72,56,6.96
Vestmannaeyjar,63.44,27.39,100,0,20.71
Gondar,41.82,48.2,100,75,5.82
Aripuana,-9.17,73.56,95,8,2.04
Port Elizabeth,39.31,28.04,84,1,4.7
Hualmay,-11.1,68.61,91,92,5.95
Sao Filipe,14.9,71.58,99,0,14.0
Clarence Town,-32.59,93.2,46,0,10.29
Kirakira,-10.46,83.64,100,64,9.19
Kahului,20.89,75.92,64,40,5.82
Vuktyl,63.86,19.2,80,80,6.62
Kaduna,10.52,62.85,34,0,9.86
San Roque,0.3,55.4,100,90,4.7
Barra da Estiva,-13.63,71.58,88,48,4.72
Bonnyville,54.27,-7.61,63,40,4.7
Tautira,-17.73,86.0,70,20,14.99
Yatou,3.63,78.8,100,40,8.41
Muisne,0.61,74.01,90,88,3.83
Cabedelo,-6.97,75.2,88,20,3.36
Nkhotakota,-12.93,72.21,97,92,2.93
Tromso,69.65,14.0,92,80,3.36
Brae,60.4,46.4,100,92,20.8
Port Hardy,50.7,32.0,84,5,3.36
Bose,45.46,39.2,55,0,1.12
Zhezkazgan,47.8,24.8,92,90,4.47
Fontem,5.49,54.93,84,0,1.59
Cheremukhovo,56.23,23.88,88,88,3.83
Charters Towers,-20.07,86.16,70,0,8.52
Boulder,40.02,37.4,64,40,3.36
Hobyo,5.35,74.64,84,0,11.65
Lompoc,34.64,57.02,93,90,11.41
Jiaocheng,24.68,49.98,87,92,2.93
Alibag,18.64,80.6,44,0,3.36
Oussouye,12.49,69.8,83,0,2.24
Shitkino,56.37,-10.14,68,56,2.37
Inhambane,-23.87,78.8,94,75,14.9
Rio Gallegos,-51.62,46.4,52,40,29.97
Punta Alta,-27.46,82.4,74,0,4.7
Bartica,6.41,77.0,88,75,6.93
San Juan,14.6,89.6,49,20,11.41
Los Llanos de Aridane,28.66,60.8,63,0,9.17
Rincon de La Victoria,-21.52,66.2,88,75,2.93
Upington,-28.46,68.0,34,0,3.36
Nantucket,41.28,23.0,80,1,5.17
Taltal,-25.41,55.83,94,0,1.59
Xacmaz,41.46,37.02,71,0,5.73
Tarakan,3.3,78.8,88,75,3.36
Moroni,39.52,24.69,90,88,2.48
Muli,22.62,51.78,73,0,4.05
Sheffield,53.38,48.2,93,88,11.41
Port-Gentil,-0.72,79.95,98,80,3.94
Melo,-32.37,71.31,93,68,11.88
Georgetown,6.8,77.0,88,75,6.93
Iqaluit,63.75,-4.01,76,90,6.93
Raver,21.25,54.93,60,0,3.38
Bundaberg,-24.87,87.8,40,0,11.41
Constitucion,23.99,57.2,47,90,3.36
Pangnirtung,66.15,-16.17,46,64,6.06
Cham,49.22,39.2,97,90,4.7
Marigot,18.23,76.8,100,76,6.62
Airai,-8.93,79.68,87,44,1.59
Isla Mujeres,21.23,73.4,69,75,3.36
Gizo,31.8,53.6,37,0,18.34
Pevek,69.7,-7.89,95,76,18.92
Gort,53.07,44.6,87,75,12.75
Saint-Michel-des-Saints,46.68,15.78,85,92,6.29
Castanos,26.78,44.58,97,48,2.59
Vagur,61.47,40.53,100,92,11.65
Yulara,-25.24,109.4,10,0,13.87
Gorontalo,0.54,78.06,85,92,3.71
Umtata,-31.59,62.6,100,75,1.12
Iquique,-20.22,69.8,60,0,9.17
Abilene,32.45,46.94,89,1,10.29
Zaysan,47.47,13.98,76,92,2.71
College,64.86,-4.01,79,1,4.05
Borba,38.81,30.63,77,36,2.82
Staraya Russa,57.99,23.25,86,88,11.1
Mogadishu,2.04,77.0,69,75,9.17
Maceio,-9.67,73.4,88,20,2.24
Bambous Virieux,-20.34,80.6,78,40,4.7
Lagoa,37.14,48.2,87,0,6.93
Tiznit,29.7,46.92,97,48,2.37
Saint Anthony,43.97,24.08,77,90,2.59
Henties Bay,-22.12,63.3,97,48,8.75
Filadelfia,-22.35,86.43,56,80,10.2
Naze,5.43,72.3,94,0,3.38
Nanganga,-10.41,71.13,98,64,2.48
Bermeo,43.42,39.2,86,0,2.24
Ginir,7.14,44.85,62,0,2.71
Katsuura,33.93,48.2,79,75,11.41
Kenai,60.55,21.02,73,75,3.36
Togur,58.36,12.9,78,68,4.94
Poso,-1.4,81.21,100,32,3.71
Cuamba,-14.8,68.88,96,76,2.93
Plouzane,48.38,48.2,81,90,12.75
Cardenas,27.62,60.51,89,0,3.94
Solwezi,-12.18,59.88,96,68,5.06
Khandyga,62.65,-45.24,0,8,2.37
Huarmey,-10.07,67.8,83,36,3.94
Vila Velha,-3.71,78.8,88,40,11.21
Beringovskiy,63.05,5.7,97,80,24.29
Hammerfest,70.66,21.2,73,0,5.82
Lookan,5.04,83.01,100,12,9.42
Lumberton,30.27,49.64,72,90,4.38
Kapuskasing,49.42,15.8,85,90,29.97
Chaadayevka,53.14,31.8,96,88,12.44
Carora,10.17,75.45,53,8,10.42
Goderich,43.74,28.65,87,80,22.84
Villacarrillo,38.12,25.05,78,12,2.71
Moree,-29.46,105.8,18,0,5.82
Nhulunbuy,-12.18,87.8,62,75,5.82
Bolivar,37.61,33.98,85,1,3.36
Chama,-11.22,65.73,94,76,5.39
Chakrata,30.7,44.13,59,80,3.04
Saint-Paul,45.22,30.2,80,0,8.05
Nalut,31.86,35.58,82,0,6.17
Krasnyy Oktyabr,56.12,21.18,85,80,11.21
Gojra,31.15,47.19,86,80,3.27
Ayagoz,47.96,25.77,89,92,17.25
Eatonton,33.33,37.4,86,1,5.82
Kapit,2.02,77.61,91,92,1.14
Kargasok,59.06,13.35,77,64,3.6
Malanje,-9.54,63.3,84,48,4.16
Kota Kinabalu,5.98,87.8,70,75,3.36
Paamiut,61.99,29.37,100,80,29.1
Kariba,-16.53,74.73,89,80,4.72
Bako,9.68,73.11,41,0,9.75
Axim,4.87,82.65,100,8,12.21
Solnechnyy,50.72,-0.42,65,36,1.25
Coari,-4.09,74.01,98,68,3.38
Muroto,33.37,53.6,40,75,12.75
Kurchum,48.57,27.93,85,92,20.04
Guerrero Negro,27.97,62.58,95,76,6.73
Mount Isa,-20.73,100.4,24,40,6.93
Loreto,-23.27,82.38,72,8,8.08
Grand Baie,-20.02,80.6,78,40,4.7
Ulagan,50.63,-5.46,55,64,3.6
Saint-Augustin,44.83,30.2,92,24,3.04
Samarai,-10.62,82.02,100,64,14.45
Provideniya,64.42,32.0,93,90,17.9
Gweta,-20.21,68.61,88,8,4.72
Salinas,36.67,55.94,96,90,13.87
Manggar,-2.88,83.01,93,80,7.4
Hall,52.11,44.6,93,90,13.87
Angoram,-4.06,87.33,72,36,3.04
Houma,35.63,25.86,41,0,3.15
Kavieng,-2.57,81.84,100,56,6.96
Conakry,9.52,79.77,100,0,10.42
Meulaboh,4.14,80.31,100,20,3.71
Abu Samrah,35.3,41.61,83,0,13.78
Chuncheng,22.17,51.51,97,80,5.95
Saint-Philippe,45.36,28.04,92,90,9.17
Sisimiut,66.94,-5.55,100,76,2.26
Assiniboia,49.63,13.35,66,64,6.85
Ilhabela,-23.78,83.28,92,24,7.96
Fonte Boa,-2.51,73.2,98,12,2.59
Seddon,-41.67,66.0,70,0,7.07
Tingo Maria,-9.29,63.3,98,88,1.92
Lumphat,13.5,82.47,59,24,3.38
Mandalgovi,45.76,-2.67,52,0,7.63
Iralaya,15.0,79.95,76,80,8.75
Chagoda,59.16,23.52,84,88,9.64
Jagalur,14.53,62.31,64,0,9.19
Novyy Urgal,51.07,-11.94,73,32,4.05
Labytnangi,66.66,-8.52,64,48,3.6
Erbaa,40.67,42.8,75,75,33.33
Wajir,1.75,78.8,61,0,5.82
Garowe,8.41,63.3,95,92,4.94
Bambanglipuro,-7.95,79.05,90,92,7.74
Namibe,-15.19,71.67,100,92,4.83
Zyryanka,65.73,-36.96,0,0,2.59
Birjand,32.86,37.4,82,0,6.93
Mitu,36.2,22.35,68,0,4.94
Nikolsk,59.53,25.41,78,88,8.41
Reconquista,-29.14,70.32,96,0,8.08
Nagornskiy,58.77,20.1,89,88,11.54
Sangar,63.92,-41.91,0,0,3.38
Rio Grande,-32.03,73.29,100,100,15.46
Tilichiki,60.47,-22.47,33,0,6.51
Catamayo,-3.99,57.36,84,64,0.47
Westport,53.8,44.31,95,44,18.25
Magdalena,-13.26,72.57,98,36,3.49
Najran,17.54,55.4,28,0,2.59
Beyneu,45.32,24.15,89,68,15.01
Batemans Bay,-35.71,90.39,43,0,4.05
Margate,-43.03,69.8,49,20,17.22
Don Sak,9.32,87.8,74,20,2.24
Aloleng,16.13,81.93,85,0,6.06
Lively,33.6,42.8,90,1,5.82
Vidim,50.47,39.2,86,90,18.34
Aksay,47.27,32.0,97,90,6.71
Gannan,47.92,12.0,43,0,9.08
Belmonte,40.36,28.38,76,36,2.48
Dingle,11.0,78.78,76,44,17.25
Acapulco,16.86,75.2,88,5,4.7
Bourail,-21.57,85.8,55,20,4.94
Soure,40.06,46.4,100,75,3.36
Kolyvan,55.31,14.0,85,90,3.38
Tazovskiy,67.47,3.54,82,56,9.19
Lop Buri,14.8,84.81,47,0,13.44
Ilyich,44.09,39.63,44,0,8.63
Vao,59.1,24.15,83,88,11.21
Ulaangom,49.98,-19.77,23,20,2.37
Moose Factory,51.26,12.2,85,90,9.17
Pandan,11.72,79.68,99,36,24.07
Komsomolskiy,67.55,10.2,79,76,6.62
Salalah,17.01,71.6,73,75,2.24
Ponta Delgada,37.73,59.0,87,20,5.82
Berlevag,70.86,19.4,85,0,9.17
Nisia Floresta,-6.09,77.0,88,90,8.05
Touros,-5.2,77.0,94,75,2.24
Zonguldak,41.25,35.85,100,88,10.31
Amazar,53.86,-18.6,25,0,6.73
Fairbanks,64.84,-13.55,79,1,4.05
Sechura,-5.56,75.18,78,32,13.22
Aquiraz,-3.9,78.8,88,40,4.72
Bijie,27.3,36.12,100,32,2.48
Deputatskiy,69.3,-53.88,0,0,2.59
Flinders,-34.58,91.4,55,20,6.93
Anchorage,61.22,19.04,96,1,4.7
Biak,-0.91,82.11,87,76,6.62
Megion,61.04,3.2,91,0,4.47
Zhenlai,45.84,20.64,47,0,10.98
Bathsheba,13.22,77.0,78,40,14.99
Milan,45.47,33.8,79,0,1.12
Abalak,15.46,48.0,48,0,6.62
Kangaatsiaq,68.31,5.07,100,68,7.74
Tessalit,20.2,39.0,33,0,4.94
Ambon,47.55,46.4,86,90,5.82
Portland,45.52,41.0,59,75,13.87
Oranjemund,-28.55,62.85,96,0,20.38
Tarko-Sale,64.92,6.24,81,80,10.98
Damghan,36.17,26.49,71,0,0.92
Tucurui,-3.77,73.65,97,68,2.15
Aykhal,65.95,-21.93,30,80,12.33
Tuim,54.34,-3.48,60,80,2.82
Huron,44.36,28.94,80,90,12.75
Poco Branco,-5.62,77.0,94,75,2.24
Usinsk,66.0,16.68,85,76,8.63
Maltahohe,-24.83,67.44,33,0,9.75
Nambucca Heads,-30.64,82.4,61,0,24.16
Grand-Lahou,5.24,77.16,92,24,5.17
Novikovo,45.05,26.31,100,48,16.69
Buraydah,26.33,51.8,87,40,3.36
Thai Binh,20.45,62.6,72,90,5.82
Pokhara,28.21,40.98,66,0,2.04
Clonakilty,51.62,41.0,93,75,11.41
Baindur,13.87,78.78,100,0,10.76
Nemuro,43.32,28.4,68,75,11.41
Fort Nelson,58.81,-1.5,68,88,3.38
Boende,-0.28,70.23,98,76,1.92
Ust-Kut,56.78,0.03,71,32,2.71
Kloulklubed,7.04,84.2,74,75,14.99
Laguna,27.52,62.85,81,0,2.48
Nome,30.04,49.64,72,90,4.38
Chapais,49.78,3.2,84,90,9.17
Ossora,59.24,-13.92,85,0,6.96
Rantepao,-2.97,77.07,80,92,1.7
San Felipe,-32.75,55.02,73,0,0.58
Baran,25.1,45.48,66,0,2.82
Odienne,9.51,62.67,57,0,4.61
Pitimbu,-7.47,75.2,88,20,3.36
Almonte,45.23,30.2,80,90,11.41
Northam,51.04,48.2,87,92,16.11
Chai Badan,15.2,81.3,51,0,11.99
Goure,13.98,51.96,59,0,9.64
Pleszew,51.9,37.83,92,92,16.91
Atar,20.52,50.07,31,56,5.95
San Antonio,-33.58,55.4,87,0,3.36
Aksarka,66.56,-2.76,73,44,7.18
Astorga,42.46,24.8,100,90,1.7
Maryborough,-25.54,92.91,32,0,3.94
Sangmelima,2.93,68.43,96,20,2.37
Scottsbluff,41.87,24.08,68,1,5.82
Oga,8.18,70.86,88,0,2.59
Changji,32.07,31.98,74,0,4.38
Ranibennur,14.62,62.67,64,0,9.75
Roebourne,-20.77,100.29,29,44,7.18
Paka,45.29,33.8,74,0,6.93
Hambantota,6.12,78.8,94,75,2.24
Xingyi,24.19,47.37,94,80,3.27
Karratha,-20.74,100.29,29,44,7.18
Zhigalovo,54.81,-11.58,35,0,2.15
Taree,-31.91,89.6,52,0,14.99
Novoagansk,61.94,9.93,75,88,6.51
Manokwari,-0.87,81.03,100,48,5.84
Mildura,-34.18,111.2,7,0,9.17
San Andres,13.32,79.86,98,32,20.6
Grand Gaube,-20.01,80.6,78,40,4.7
Kresttsy,58.25,22.8,87,92,12.55
Luis Correia,-2.88,72.84,99,88,3.49
Ahuimanu,21.44,78.98,84,40,7.18
Larsnes,62.2,32.0,100,80,6.93
Buchanan,5.88,75.2,94,75,7.96
Turgoyak,55.15,11.01,81,68,2.93
Kindersley,51.47,3.2,84,90,8.05
Serrinha,-11.66,71.58,87,0,7.4
Basudebpur,21.14,68.43,100,0,14.45
Tabuny,52.78,15.96,89,80,6.85
Ashdod,31.8,53.6,37,0,18.34
Spearfish,44.49,26.6,100,90,9.17
Tabory,53.89,23.88,84,76,8.08
Bindura,-17.3,61.77,91,32,3.38
Tezu,27.93,52.86,44,0,1.7
Hohhot,40.81,12.2,30,0,4.47
Iskateley,67.68,14.52,83,88,3.49
Kieta,-6.22,81.93,100,32,4.72
Nayagarh,20.13,64.47,77,0,4.27
Kampot,10.62,84.2,74,40,5.82
Christchurch,-43.53,66.2,63,0,18.34
Shahgarh,24.31,48.27,74,0,2.59
Rocha,-34.48,67.62,98,76,12.55
Jiayuguan,39.77,2.28,52,0,1.7
Severomuysk,56.17,-5.73,71,64,2.04
Sao Jose da Coroa Grande,-8.9,74.73,100,92,3.71
Pisco,-13.71,68.7,88,76,4.16
Zabol,31.03,46.4,24,32,4.7
Alekseyevsk,57.84,0.93,69,48,2.93
